title,inbound_links,pageviews_3mo
Coeliac disease,500,133368
Dark Archives,0,1886
Bupropion,0,210741
Cholangiocarcinoma,371,88976
Complete blood count,129,19188
Dementia with Lewy bodies,0,75306
1858 Bradford sweets poisoning,253,6980
1984 Rajneeshee bioterror attack,175,47713
1966 New York City smog,17,7462
Anti-tobacco movement in Nazi Germany,40,6775
Buruli ulcer,0,3862
Golding Bird,0,805
Bacteria,285,88497
Chagas disease,0,46667
Dengue fever,0,89103
Amphetamine,230,139750
Dracunculiasis,0,25760
Diffuse panbronchiolitis,0,3550
Rupert Downes,0,297
Ray Farquharson,0,230
Female genital mutilation,0,110118
Endometrial cancer,482,18783
Neil Hamilton Fairley,0,399
Howard Florey,0,10358
Debora Green,18,12576
Genetics,500,43555
Introduction to viruses,0,3641
Heartburn,0,19585
Hepatorenal syndrome,279,4859
Oliver Wendell Holmes Sr.,0,17140
Helicobacter pylori,0,125449
Influenza,221,59461
Leech,0,76869
Linezolid,0,14913
Ketogenic diet,0,28971
Mary Mallon,0,130644
Major depressive disorder,0,153075
Frances Gertrude McGill,28,563
Lung cancer,472,66318
Menstrual cycle,0,49131
Myalgic encephalomyelitis/chronic fatigue syndrome,226,0
Osteochondritis dissecans,140,10820
Oxygen toxicity,101,23256
George S. Patton slapping incidents,33,27148
Pancreatic cancer,0,132080
Pulmonary contusion,0,6150
Prostate cancer,490,70012
Race Against Time (Lewis book),0,161
John Rolph,10,1216
Rhabdomyolysis,0,104817
William S. Sadler,0,1742
Rotavirus,500,24068
Schizophrenia,0,269012
Serpin,0,1419
Subarachnoid hemorrhage,0,33108
Social history of viruses,80,1133
Paul Nobuo Tatsuguchi,8,1315
Ryan White,398,138433
Thyrotoxic periodic paralysis,14,2653
Virus,0,145345
Xenon,0,97106
Β-Hydroxy β-methylbutyric acid,0,4562
Tourette syndrome,184,145304
Water fluoridation,0,12105
17q12 microdeletion syndrome,316,3319
"2,3,7,8-Tetrachlorodibenzodioxin",341,12210
21-Hydroxylase,0,1062
2009 swine flu pandemic,9,26214
1993 Four Corners hantavirus outbreak,32,5261
2007 Bernard Matthews H5N1 outbreak,118,348
2020 Colorado Proposition 115,3,295
1971 Iraq poison grain disaster,244,3923
Odette Abadi,0,448
Maher Abbas,0,252
Abortion in Guinea,253,166
Abdominal angina,259,1937
Abortion in Eswatini,241,120
Abortion in Madagascar,0,440
Abortion in Malawi,0,375
Abortion in Liberia,0,169
Abortion in Mauritius,364,394
Abortion in Senegal,136,226
Abortion in Sierra Leone,0,197
Abortion in the Gambia,0,164
Abortion in Seychelles,0,156
Abortion–breast cancer hypothesis,0,1490
Abortion in Zambia,166,409
Abortion in Togo,334,135
Acne,0,42532
Adrenal crisis,0,5141
Adderall,291,133748
Albert Einstein College of Medicine,0,16545
Agent Orange,209,149816
David Albala,0,833
Al-Risala al-Dhahabiyya,0,434
Alcohol and Native Americans,0,12659
Air pollution,500,38474
Mary Amdur,0,402
Beulah Ream Allen,0,263
Frances Ames,0,498
Alcoholism,0,87349
Alprazolam,0,177504
Anaphylaxis,0,51887
ALS,500,
Anatomy,0,
Andersen–Tawil syndrome,234,
Trinidad Arroyo,0,
Ascending cholangitis,0,
Androgen backdoor pathway,17,
Antibiotic sensitivity testing,0,
Aphthous stomatitis,249,
Animal testing,500,12249
Aspirin,0,97634
Anne Bayley,6,153
Attention deficit hyperactivity disorder,0,336275
Basic Medicine,0,333
Bahrain health worker trials,0,198
Hussein Kamel Bahaeddin,0,296
Asthma,484,51146
BGR-34,2,687
Anna Bågenholm,10,11412
Beck Depression Inventory,66,8898
Beck–Fahrner syndrome,211,2548
Fred Binka,0,340
Benzodiazepine,0,157263
Biotin,221,25449
Behavioural genetics,500,6501
Birt–Hogg–Dubé syndrome,0,7071
Biological determinism,0,9226
Body image disturbance,0,5052
Birth control,500,31269
Bisphenol A,0,26903
Boroline,0,4442
Blood culture,0,3971
Boston Society for Medical Improvement,0,316
Ann Bishop (biologist),14,248
Inès de Bourgoing,0,418
Tawana Brawley rape hoax,0,41407
Brachytherapy,363,10334
Brugada syndrome,123,22487
Hilda Bull,0,114
William Bronston,0,1005
Briarcliff Manor Fire Department,31,203
Bugchasing,150,20093
Burn,319,28987
Pablo Busch,5,658
Sylvia Mathews Burwell,277,6969
William Heath Byford,3,89
Cadet Nurse Corps,38,885
Martha Hughes Cannon,0,2677
Captain Novolin,6,1390
Eugene W. Caldwell,0,280
Nessa Carey,0,585
Cataract surgery,338,22168
Cedillo v. Secretary of Health and Human Services,162,376
Carbon monoxide poisoning,496,40417
Catecholaminergic polymorphic ventricular tachycardia,0,2610
CDK13-related disorder,4,1218
Cerebral venous sinus thrombosis,0,7343
Elizabeth Casson,0,281
Lucinda L. Combs,0,149
Clindamycin,500,51514
Eilish Cleary,0,296
Coalition for Epidemic Preparedness Innovations,0,2990
Collaborative practice agreement,0,447
Coffin birth,0,12608
Chylothorax,0,
Chronic obstructive pulmonary disease,500,
Henri Coutard,0,
Coronary artery bypass surgery,0,
Crohn's disease,0,
Corrupted Blood incident,0,
Croup,0,
COVID-19 pandemic,500,
Concussion,0,
Aniru Conteh,4,
Rebecca Lee Crumpler,0,
Joseph DeLee,0,
CT scan,496,
Deep vein thrombosis,0,
Dental implant,0,
Daniel Sickles's leg,10,
Decompression sickness,490,
Marie Curie,0,
Desquamative interstitial pneumonia,0,
Diaphragmatic rupture,104,
Disease X,133,
Diabetic ketoacidosis,263,
Down syndrome,0,
Dopamine,0,
Doxorubicin,500,
Johann Joseph Dömling,0,
Egg allergy,0,
Dyslexia,0,
Electric bath (electrotherapy),0,
Epilepsy,0,
Endell Street Military Hospital,0,
Effects of climate change,500,
Flea,329,50399
Fish allergy,40,2066
Ethylene glycol poisoning,167,12678
EviCore,4,2745
"Genes, Brain and Behavior",0,231
Friedreich's ataxia,0,31699
Vera Gedroits,0,2300
Gastroenteritis,0,54573
"Sir Ewan Forbes, 11th Baronet",0,2804
Atul Gawande,129,28189
Edward Ford (physician),9,104
Folate,371,34147
Mary Gordon (prison inspector),0,241
Great Plague of London,491,29494
Hedonic hunger,0,1628
Hanhart syndrome,0,19054
Guillain–Barré syndrome,0,166218
Gout,123,144387
Irving Gottesman,0,489
Genome-wide association study,377,5779
Hemothorax,0,6116
Hepatic hydrothorax,0,1147
Hepatic encephalopathy,389,19473
Hepatitis E,0,6834
Hepatitis B,0,40617
Heparin-induced thrombocytopenia,111,2637
Hemorrhoid,496,76087
Henoch–Schönlein purpura,0,13790
Hereditary hemorrhagic telangiectasia,0,7225
George Foster Herben,4,87
Thomas Hinde,0,466
Epidural administration,0,14315
Herpes,453,58940
Mary Herring,0,238
Endometriosis,0,226319
Hiroshima Maidens,2,10266
Familial hypercholesterolemia,154,8913
Gerald Fischbach,13,397
Hermaphrodite (Nadar),2,3795
Hereditary coproporphyria,43,3088
Histamine intolerance,0,7342
Fibrothorax,165,3180
HIV/AIDS in Malawi,236,0
HIV,500,109472
María Teresa Ferrari,7,304
History of penicillin,0,17428
HIV/AIDS,0,0
History of malaria,0,8241
History of aspirin,0,7212
Histamine N-methyltransferase,264,1496
Hypericum perforatum,0,68067
Idiopathic intracranial hypertension,0,14693
Hospice care in the United States,480,3260
Hypertension,20,88646
Hypothyroidism,0,67969
Hypopituitarism,0,12580
Impacted wisdom teeth,0,9333
E. Graham Howe,4,414
International emergency medicine,63,271
Injector pen,118,2774
Imprinted brain hypothesis,315,1290
Iodine,0,67243
Interventricular foramina (neuroanatomy),71,1280
Intersex healthcare,70,1234
Intramuscular injection,228,14053
Intravenous therapy,0,47912
Aletta Jacobs,131,5643
