mesh_id,mesh_name,tree_numbers
D000008,Abdominal Neoplasms,C04.588.033
D000182,"ACTH Syndrome, Ectopic",C04.730.713.317
D000230,Adenocarcinoma,C04.557.470.200.025
D000231,"Adenocarcinoma, Papillary",C04.557.470.200.025.085
D000232,Adenofibroma,C04.557.450.565.590.595.050|C04.557.470.625.050
D000235,Adenolymphoma,C04.557.435.075
D000236,Adenoma,C04.557.470.035
D000237,"Adenoma, Basophil",C04.557.465.625.650.075|C04.557.470.035.075|C04.557.580.625.650.075
D000238,"Adenoma, Chromophobe",C04.557.465.625.650.095|C04.557.470.035.095|C04.557.580.625.650.095
D000239,"Adenoma, Acidophil",C04.557.465.625.650.025|C04.557.470.035.025|C04.557.580.625.650.025
D000306,Adrenal Cortex Neoplasms,C04.588.322.078.265
D000310,Adrenal Gland Neoplasms,C04.588.322.078
D000314,Adrenal Rest Tumor,C04.557.470.035.232
D000564,Ameloblastoma,C04.557.695.065
D000694,Anal Gland Neoplasms,C04.588.083|C04.588.274.476.411.307.790.040.040
D000708,Anaplasia,C04.697.045
D000794,Angiokeratoma,C04.557.645.115
D001005,Anus Neoplasms,C04.588.274.476.411.307.790.040
D001063,Appendiceal Neoplasms,C04.588.274.476.411.184.290
D001079,Apudoma,C04.557.465.625.650.135|C04.557.470.035.250|C04.557.580.625.650.135
D001254,Astrocytoma,C04.557.465.625.600.380.080|C04.557.470.670.380.080|C04.557.580.625.600.380.080
D001353,Avian Leukosis,C04.557.337.372.216|C04.619.531.216
D001357,"Sarcoma, Avian",C04.557.450.795.830.800|C04.619.857.800
D001471,Barrett Esophagus,C04.834.154
D001478,Basal Cell Nevus Syndrome,C04.182.089.530.690.150|C04.557.470.200.649.002.001|C04.588.805.511.002.001|C04.700.175
D001650,Bile Duct Neoplasms,C04.588.274.120.250
D001661,Biliary Tract Neoplasms,C04.588.274.120
D001749,Urinary Bladder Neoplasms,C04.588.945.947.960
D001752,Blast Crisis,C04.557.337.539.250.100|C04.697.098.500.110
D001845,Bone Cysts,C04.182.089
D001859,Bone Neoplasms,C04.588.149
D001913,Bowen's Disease,C04.557.470.200.649.001.001|C04.588.805.511.001.001
D001932,Brain Neoplasms,C04.588.614.250.195
D001935,Branchioma,C04.182.117
D001943,Breast Neoplasms,C04.588.180
D001948,Brenner Tumor,C04.557.450.565.590.595.150|C04.557.470.625.150
D001984,Bronchial Neoplasms,C04.588.894.797.520.109
D001994,Bronchogenic Cyst,C04.182.195
D002051,Burkitt Lymphoma,C04.557.386.480.150.165
D002275,Carcinoid Heart Disease,C04.557.465.625.650.200.500.205|C04.557.470.200.025.200.500.205|C04.557.580.625.650.200.500.205
D002276,Carcinoid Tumor,C04.557.465.625.650.200|C04.557.470.200.025.200|C04.557.580.625.650.200
D002277,Carcinoma,C04.557.470.200
D002278,Carcinoma in Situ,C04.557.470.200.240
D002279,"Carcinoma 256, Walker",C04.557.435.290.210|C04.557.450.795.290.210|C04.619.045
D002280,Basal Cell Carcinoma,C04.557.470.200.649.002|C04.557.470.565.165|C04.588.805.511.002
D002281,"Carcinoma, Basosquamous",C04.557.470.200.170|C04.557.470.565.170
D002282,"Adenocarcinoma, Bronchiolo-Alveolar",C04.557.470.200.025.022.500|C04.588.894.797.520.055.500
D002283,"Carcinoma, Bronchogenic",C04.588.894.797.520.109.220
D002284,"Carcinoma, Brown-Pearce",C04.619.124
D002285,"Carcinoma, Intraductal, Noninfiltrating",C04.557.470.200.025.275|C04.557.470.200.240.187.250|C04.557.470.615.275
D002286,"Carcinoma, Ehrlich Tumor",C04.557.470.200.200|C04.619.169
D002287,"Carcinoma, Krebs 2",C04.557.470.200.255|C04.619.214
D002288,"Adenocarcinoma, Mucinous",C04.557.470.200.025.075|C04.557.470.590.075
D002289,"Carcinoma, Non-Small-Cell Lung",C04.588.894.797.520.109.220.249
D002291,"Carcinoma, Papillary",C04.557.470.200.360|C04.557.470.700.360
D002292,"Carcinoma, Renal Cell",C04.557.470.200.025.390|C04.588.945.947.535.160
D002293,"Adenocarcinoma, Scirrhous",C04.557.470.200.025.095
D002294,"Carcinoma, Squamous Cell",C04.557.470.200.400|C04.557.470.700.400
D002295,"Carcinoma, Transitional Cell",C04.557.470.200.430
D002296,Carcinosarcoma,C04.557.435.290|C04.557.450.795.290
D002345,Carotid Body Tumor,C04.557.465.625.650.700.705.220|C04.557.580.625.650.700.705.220
D002430,Cecal Neoplasms,C04.588.274.476.411.184
D002471,"Cell Transformation, Neoplastic",C04.697.098.500
D002472,"Cell Transformation, Viral",C04.697.098.500.160
D002485,Cementoma,C04.557.695.210
D002528,Cerebellar Neoplasms,C04.588.614.250.195.411.211
D002551,Cerebral Ventricle Neoplasms,C04.588.614.250.195.205
D002578,Uterine Cervical Dysplasia,C04.834.818
D002583,Uterine Cervical Neoplasms,C04.588.945.418.948.850
D002759,"Adenoma, Bile Duct",C04.557.470.035.085
D002804,Chondroblastoma,C04.557.450.565.250
D002812,Chondroma,C04.557.450.565.265
D002813,Chondrosarcoma,C04.557.450.565.280|C04.557.450.795.300
D002817,Chordoma,C04.557.465.220
D002820,"Hydatidiform Mole, Invasive",C04.557.465.955.416.812.500|C04.850.908.416.750.500
D002822,Choriocarcinoma,C04.557.465.955.207|C04.557.470.200.025.455|C04.850.908.208
D002830,Choroid Neoplasms,C04.588.364.978.223
D003043,Cocarcinogenesis,C04.697.098.875
D003110,Colonic Neoplasms,C04.588.274.476.411.307.180
D003123,"Colorectal Neoplasms, Hereditary Nonpolyposis",C04.588.274.476.411.307.190|C04.700.250
D003138,Common Bile Duct Neoplasms,C04.588.274.120.250.250
D003230,Conjunctival Neoplasms,C04.588.364.235
D003390,Cranial Nerve Neoplasms,C04.588.614.300|C04.588.614.596.240
D003397,Craniopharyngioma,C04.557.465.625.200|C04.557.580.625.200
D003528,"Carcinoma, Adenoid Cystic",C04.557.470.200.025.220
D003536,Cystadenocarcinoma,C04.557.470.200.025.480|C04.557.470.590.480
D003537,Cystadenoma,C04.557.470.035.320|C04.557.470.590.485
D003557,Phyllodes Tumor,C04.557.450.795.650
D003560,Cysts,C04.182
D003803,Dentigerous Cyst,C04.182.089.530.690.310
D003884,Dermoid Cyst,C04.182.201|C04.557.465.910.250
D003969,Vipoma,C04.557.465.625.650.240.847|C04.557.470.200.025.370.847|C04.588.274.761.500.750|C04.588.322.475.500.750
D004067,Digestive System Neoplasms,C04.588.274
D004379,Duodenal Neoplasms,C04.588.274.476.411.445
D004387,Dupuytren Contracture,C04.557.450.565.590.340.173
D004407,Dysgerminoma,C04.557.465.330.300
D004416,Dysplastic Nevus Syndrome,C04.557.465.625.650.510.520.001|C04.557.665.560.260|C04.700.305
D004428,Ear Neoplasms,C04.588.443.665.312
D004701,Endocrine Gland Neoplasms,C04.588.322
D004806,Ependymoma,C04.557.465.625.600.380.290|C04.557.470.670.380.290|C04.557.580.625.600.380.290
D004814,Epidermal Cyst,C04.182.254
D004915,"Leukemia, Erythroblastic, Acute",C04.557.337.539.275.325
D004919,Erythroplasia,C04.834.288
D004934,Esophageal Cyst,C04.182.281
D004938,Esophageal Neoplasms,C04.588.274.476.205|C04.588.443.353
D005097,"Exostoses, Multiple Hereditary",C04.557.450.565.575.610.615.325|C04.700.330
D005134,Eye Neoplasms,C04.588.364
D005142,Eyelid Neoplasms,C04.588.443.392.500
D005153,Facial Neoplasms,C04.588.443.392
D005185,Fallopian Tube Neoplasms,C04.588.945.418.365
D005266,Femoral Neoplasms,C04.588.149.276
D005350,Fibroma,C04.557.450.565.590.340
D005354,Fibrosarcoma,C04.557.450.565.590.350|C04.557.450.795.350
D005497,Follicular Cyst,C04.182.300
D005706,Gallbladder Neoplasms,C04.588.274.120.401
D005729,Ganglioneuroma,C04.557.465.625.600.355|C04.557.470.670.355|C04.557.580.625.600.355
D005736,Gardner Syndrome,C04.557.470.035.215.100.500|C04.588.274.476.411.307.089.393|C04.700.100.392
D005770,Gastrointestinal Neoplasms,C04.588.274.476
D005833,"Genital Neoplasms, Female",C04.588.945.418
D005834,"Genital Neoplasms, Male",C04.588.945.440
D005870,Giant Cell Tumors,C04.557.450.565.380
D005887,Gingival Neoplasms,C04.588.443.591.402
D005909,Glioblastoma,C04.557.465.625.600.380.080.335|C04.557.470.670.380.080.335|C04.557.580.625.600.380.080.335
D005910,Glioma,C04.557.465.625.600.380|C04.557.470.670.380|C04.557.580.625.600.380
D005918,Glomus Tumor,C04.557.645.350
D005925,Glomus Jugulare Tumor,C04.557.465.625.650.700.705.340|C04.557.580.625.650.700.705.340
D005935,Glucagonoma,C04.557.470.200.025.290.750|C04.588.274.761.500.249|C04.588.322.475.500.249
D006106,Granulosa Cell Tumor,C04.557.475.750.656|C04.588.322.455.398
D006222,Hamartoma,C04.445
D006223,"Hamartoma Syndrome, Multiple",C04.445.435|C04.651.435|C04.700.435
D006258,Head and Neck Neoplasms,C04.588.443
D006338,Heart Neoplasms,C04.588.894.309
D006390,Hemangioendothelioma,C04.557.645.375.370
D006391,Hemangioma,C04.557.645.375
D006392,"Hemangioma, Cavernous",C04.557.645.375.385
D006393,Hemangiopericytoma,C04.557.645.380
D006394,Hemangiosarcoma,C04.557.450.795.390|C04.557.645.390
D006528,"Carcinoma, Hepatocellular",C04.557.470.200.025.255|C04.588.274.623.160
D006607,"Adenoma, Sweat Gland",C04.557.470.035.175|C04.557.470.550.175
D006689,Hodgkin Disease,C04.557.386.355
D006828,Hydatidiform Mole,C04.557.465.955.416.812|C04.850.908.416.750
D007012,Hypopharyngeal Neoplasms,C04.588.443.665.710.485
D007029,Hypothalamic Neoplasms,C04.588.614.250.195.885.500
D007078,Ileal Neoplasms,C04.588.274.476.411.501
D007161,Immunoproliferative Small Intestinal Disease,C04.557.386.390
D007340,Insulinoma,C04.557.470.035.100.852|C04.588.274.761.249.500|C04.588.322.475.249.500
D007414,Intestinal Neoplasms,C04.588.274.476.411
D007516,"Adenoma, Islet Cell",C04.557.470.035.100|C04.588.274.761.249|C04.588.322.475.249
D007570,Jaw Cysts,C04.182.089.530
D007573,Jaw Neoplasms,C04.588.149.721.450
D007580,Jejunal Neoplasms,C04.588.274.476.411.523
D007680,Kidney Neoplasms,C04.588.945.947.535
D007725,Krukenberg Tumor,C04.557.470.200.025.415.410|C04.557.470.590.415.410
D007822,Laryngeal Neoplasms,C04.588.443.665.481
D007889,Leiomyoma,C04.557.450.590.450
D007890,Leiomyosarcoma,C04.557.450.590.455|C04.557.450.795.455
D007938,Leukemia,C04.557.337
D007939,Leukemia L1210,C04.557.337.372.594|C04.619.531.594
D007940,Leukemia L5178,C04.557.337.372.602|C04.619.531.602
D007941,Leukemia P388,C04.557.337.372.782|C04.619.531.782
D007942,"Leukemia, Experimental",C04.557.337.372|C04.619.531
D007943,"Leukemia, Hairy Cell",C04.557.337.415
D007945,"Leukemia, Lymphoid",C04.557.337.428
D007946,"Leukemia, Mast-Cell",C04.557.337.440|C04.557.337.539.275.440
D007947,"Leukemia, Megakaryoblastic, Acute",C04.557.337.539.275.450
D007948,"Leukemia, Monocytic, Acute",C04.557.337.539.275.484
D007951,"Leukemia, Myeloid",C04.557.337.539
D007952,"Leukemia, Plasma Cell",C04.557.337.595|C04.557.595.500.500
D007953,"Leukemia, Radiation-Induced",C04.557.337.650|C04.682.512
D007971,Leukoplakia,C04.834.512
D007972,"Leukoplakia, Oral",C04.588.443.591.545|C04.834.512.513
D007984,Leydig Cell Tumor,C04.557.475.750.847.249|C04.588.322.762.500.249|C04.588.945.440.915.500.249
D008039,Linitis Plastica,C04.557.470.200.025.095.410
D008048,Lip Neoplasms,C04.588.443.591.550
D008067,Lipoma,C04.557.450.550.400
D008080,Liposarcoma,C04.557.450.550.420|C04.557.450.795.465
D008113,Liver Neoplasms,C04.588.274.623
D008114,"Liver Neoplasms, Experimental",C04.588.274.623.460|C04.619.540
D008175,Lung Neoplasms,C04.588.894.797.520
D008202,Lymphangioma,C04.557.375.450
D008203,Lymphangiomyoma,C04.557.375.460
D008204,Lymphangiosarcoma,C04.557.375.480|C04.557.450.795.480
D008207,Lymphatic Metastasis,C04.697.650.560
D008210,Lymphocele,C04.182.430
D008223,Lymphoma,C04.557.386
D008224,"Lymphoma, Follicular",C04.557.386.480.350
D008228,"Lymphoma, Non-Hodgkin",C04.557.386.480
D008230,Lymphomatoid Granulomatosis,C04.557.386.480.150.600|C04.834.567
D008258,Waldenstrom Macroglobulinemia,C04.557.595.925
D008303,Malignant Carcinoid Syndrome,C04.557.465.625.650.200.500|C04.557.470.200.025.200.500|C04.557.580.625.650.200.500
D008325,"Mammary Neoplasms, Experimental",C04.588.531.500|C04.619.590
D008339,Mandibular Neoplasms,C04.588.149.721.450.583
D008415,Mastocytosis,C04.557.450.565.465
D008441,Maxillary Neoplasms,C04.588.149.721.450.601
D008444,Maxillary Sinus Neoplasms,C04.588.443.665.650.693.575
D008476,Mediastinal Cyst,C04.182.444
D008479,Mediastinal Neoplasms,C04.588.894.479
D008527,Medulloblastoma,C04.557.465.625.600.380.515|C04.557.465.625.600.590.500|C04.557.470.670.380.515|C04.557.470.670.590.500|C04.557.580.625.600.380.515|C04.557.580.625.600.590.500
D008539,Meigs Syndrome,C04.588.322.455.531
D008545,Melanoma,C04.557.465.625.650.510|C04.557.580.625.650.510|C04.557.665.510|C04.588.805.377
D008546,"Melanoma, Experimental",C04.557.465.625.650.510.525|C04.557.580.625.650.510.525|C04.557.665.510.525|C04.619.600
D008577,Meningeal Neoplasms,C04.588.614.250.580
D008579,Meningioma,C04.557.580.520|C04.557.645.520|C04.588.614.250.580.500
D008637,Mesenchymoma,C04.557.435.500
D008639,Mesenteric Cyst,C04.182.473
D008649,Mesonephroma,C04.557.465.510
