mesh_id,mesh_name,category
D000068196,Albumin-Bound Paclitaxel,antineoplastic_drug
D000068258,Bevacizumab,antineoplastic_drug
D000068338,Everolimus,antineoplastic_drug
D000068437,Pemetrexed,antineoplastic_drug
D000068556,Interferon beta-1a,antineoplastic_drug
D000068818,Cetuximab,antineoplastic_drug
D000068877,Imatinib Mesylate,antineoplastic_drug
D000068878,Trastuzumab,antineoplastic_drug
D000069283,Rituximab,antineoplastic_drug
D000069286,Bortezomib,antineoplastic_drug
D000069287,Capecitabine,antineoplastic_drug
D000069347,Erlotinib Hydrochloride,antineoplastic_drug
D000069439,Dasatinib,antineoplastic_drug
D000069461,Bendamustine Hydrochloride,antineoplastic_drug
D000069501,Abiraterone Acetate,antineoplastic_drug
D000069579,Ranibizumab,antineoplastic_drug
D000069594,Abatacept,antineoplastic_drug
D000074323,Alemtuzumab,antineoplastic_drug
D000074324,Ipilimumab,antineoplastic_drug
D000077143,Docetaxel,antineoplastic_drug
D000077146,Irinotecan,antineoplastic_drug
D000077150,Oxaliplatin,antineoplastic_drug
D000077156,Gefitinib,antineoplastic_drug
D000077157,Sorafenib,antineoplastic_drug
D000077190,Interferon alpha-2,antineoplastic_drug
D000077204,Temozolomide,antineoplastic_drug
D000077209,Decitabine,antineoplastic_drug
D000077210,Sunitinib,antineoplastic_drug
D000077235,Vinorelbine,antineoplastic_drug
D000077237,Arsenic Trioxide,antineoplastic_drug
D000077266,Moxifloxacin,antineoplastic_drug
D000077267,Fulvestrant,antineoplastic_drug
D000077269,Lenalidomide,antineoplastic_drug
D000077271,Imiquimod,antineoplastic_drug
D000077276,Lycopene,antineoplastic_drug
D000077289,Letrozole,antineoplastic_drug
D000077332,Artesunate,antineoplastic_drug
D000077337,Vorinostat,antineoplastic_drug
D000077341,Lapatinib,antineoplastic_drug
D000077384,Anastrozole,antineoplastic_drug
D000077385,Silybin,antineoplastic_drug
D000077484,Vemurafenib,antineoplastic_drug
D000077544,Panitumumab,antineoplastic_drug
D000077546,Roscovitine,antineoplastic_drug
D000077547,Crizotinib,antineoplastic_drug
D000077556,Alitretinoin,antineoplastic_drug
D000077584,2-Methoxyestradiol,antineoplastic_drug
D000077594,Nivolumab,antineoplastic_drug
D000077606,Trabectedin,antineoplastic_drug
D000077609,O-(Chloroacetylcarbamoyl)fumagillol,antineoplastic_drug
D000077610,Bexarotene,antineoplastic_drug
D000077704,Tirapazamine,antineoplastic_drug
D000077716,Afatinib,antineoplastic_drug
D000077734,Gatifloxacin,antineoplastic_drug
D000077735,Gemifloxacin,antineoplastic_drug
D000077767,Panobinostat,antineoplastic_drug
D000077784,Axitinib,antineoplastic_drug
D000077863,Homoharringtonine,antineoplastic_drug
D000077866,Clofarabine,antineoplastic_drug
D000077868,Atrasentan,antineoplastic_drug
D000079963,Brentuximab Vedotin,antineoplastic_drug
D000079982,Gemtuzumab,antineoplastic_drug
D000080044,Ado-Trastuzumab Emtansine,antineoplastic_drug
D000080045,Inotuzumab Ozogamicin,antineoplastic_drug
D000080084,Calicheamicins,antineoplastic_drug
D000080890,Duocarmycins,antineoplastic_drug
D000091304,Angiopoietin-Like Protein 1,antineoplastic_drug
D000093542,Gemcitabine,antineoplastic_drug
D000096662,Ramucirumab,antineoplastic_drug
D000097245,Ursolic Acid,antineoplastic_drug
D000099289,Avapritinib,antineoplastic_drug
D000175,Acronine,antineoplastic_drug
D000518,Eflornithine,antineoplastic_drug
D000616,Aminoglutethimide,antineoplastic_drug
D000677,Amsacrine,antineoplastic_drug
D000678,Amygdalin,antineoplastic_drug
D000816,Aniline Mustard,antineoplastic_drug
D000876,Anthramycin,antineoplastic_drug
D000971,Antineoplastic Combined Chemotherapy Protocols,antineoplastic_protocol
D001215,Asparaginase,antineoplastic_drug
D001374,Azacitidine,antineoplastic_drug
D001375,Azaguanine,antineoplastic_drug
D001377,Azaserine,antineoplastic_drug
D001379,Azathioprine,antineoplastic_drug
D001380,Azauridine,antineoplastic_drug
D001478,Basal Cell Nevus Syndrome,hereditary_cancer_syndrome
D001761,Bleomycin,antineoplastic_drug
D001973,Bromodeoxyuridine,antineoplastic_drug
D002066,Busulfan,antineoplastic_drug
D002166,Camptothecin,antineoplastic_drug
D002225,Carbazilquinone,antineoplastic_drug
D002330,Carmustine,antineoplastic_drug
D002360,Carubicin,antineoplastic_drug
D002699,Chlorambucil,antineoplastic_drug
D002741,Chlorotrianisene,antineoplastic_drug
D002865,Chromomycins,antineoplastic_drug
D002937,Cinoxacin,antineoplastic_drug
D002939,Ciprofloxacin,antineoplastic_drug
D002945,Cisplatin,antineoplastic_drug
D003070,Coformycin,antineoplastic_drug
